/*********************************************
 * OPL 22.1.2.0 Data
 * Author: adrien.dacostaveiga
 * Creation Date: Mar 16, 2026 at 11:04:06 AM
 *********************************************/

n = 10;

E = [129,195,89,96,110,120,124,126,135,160];

T = [155,258,98,106,123,135,138,140,150,180];

L = [559,744,510,521,555,576,577,573,591,657];

cMinus = [10,10,30,30,30,30,30,30,30,30];

cPlus  = [10,10,30,30,30,30,30,30,30,30];

M = 10000;

s = [
[0,3,15,15,15,15,15,15,15,15],
[3,0,15,15,15,15,15,15,15,15],
[15,15,0,8,8,8,8,8,8,8],
[15,15,8,0,8,8,8,8,8,8],
[15,15,8,8,0,8,8,8,8,8],
[15,15,8,8,8,0,8,8,8,8],
[15,15,8,8,8,8,0,8,8,8],
[15,15,8,8,8,8,8,0,8,8],
[15,15,8,8,8,8,8,8,0,8],
[15,15,8,8,8,8,8,8,8,0]
];
